Atom_Index, Neighbour_Index, distance
95,20,0.70711
95,21,0.70711
95,32,0.70711
95,89,0.70711
95,90,0.70711
95,92,0.70711
95,93,0.70711
95,94,0.70711
95,102,0.70711
95,104,0.70711
95,106,0.70711
96,51,0.70711
96,62,0.70711
96,63,0.70711
96,70,0.70711
96,85,0.70711
96,87,0.70711
96,93,0.70711
96,97,0.70711
96,98,0.70711
96,99,0.70711
96,105,0.70711
96,106,0.70711
97,38,0.70711
97,62,0.70711
97,63,0.70711
97,67,0.70711
97,72,0.70711
97,74,0.70711
97,76,0.70711
97,96,0.70711
97,98,0.70711
97,99,0.70711
97,100,0.70711
97,103,0.70711
98,13,0.70711
98,24,0.70711
98,25,0.70711
98,28,0.70711
98,85,0.70711
98,87,0.70711
98,91,0.70711
98,96,0.70711
98,97,0.70711
98,99,0.70711
98,100,0.70711
98,103,0.70711
99,0,0.70711
99,24,0.70711
99,25,0.70711
99,33,0.70711
99,72,0.70711
99,74,0.70711
99,82,0.70711
99,96,0.70711
99,97,0.70711
99,98,0.70711
99,105,0.70711
99,106,0.70711
100,55,0.70711
100,62,0.70711
100,66,0.70711
100,67,0.70711
100,85,0.70711
100,89,0.70711
100,91,0.70711
100,97,0.70711
100,98,0.70711
100,101,0.70711
100,102,0.70711
100,103,0.70711
101,42,0.70711
101,66,0.70711
101,67,0.70711
101,71,0.70711
101,76,0.70711
101,78,0.70711
101,80,0.70711
101,100,0.70711
101,102,0.70711
101,103,0.70711
101,104,0.70711
101,107,0.70711
102,17,0.70711
102,28,0.70711
102,29,0.70711
102,32,0.70711
102,89,0.70711
102,91,0.70711
102,95,0.70711
102,100,0.70711
102,101,0.70711
102,103,0.70711
102,104,0.70711
102,107,0.70711
103,4,0.70711
103,25,0.70711
103,28,0.70711
103,29,0.70711
103,74,0.70711
103,76,0.70711
103,78,0.70711
103,97,0.70711
103,98,0.70711
103,100,0.70711
103,101,0.70711
103,102,0.70711
104,59,0.70711
104,66,0.70711
104,70,0.70711
104,71,0.70711
104,89,0.70711
104,93,0.70711
104,95,0.70711
104,101,0.70711
104,102,0.70711
104,105,0.70711
104,106,0.70711
104,107,0.70711
105,46,0.70711
105,63,0.70711
105,70,0.70711
105,71,0.70711
105,72,0.70711
105,80,0.70711
105,82,0.70711
105,96,0.70711
105,99,0.70711
105,104,0.70711
105,106,0.70711
105,107,0.70711
106,21,0.70711
106,24,0.70711
106,32,0.70711
106,33,0.70711
106,87,0.70711
106,93,0.70711
106,95,0.70711
106,96,0.70711
106,99,0.70711
106,104,0.70711
